name,org,email,industry,profile,notes
,Black Girls in Media,tasha@blackgirlsinmediainc.com,MediaOrg,creator,Black Girls in Media -- Tasha McCaskiel founder -- speaker form and general inquiries
,Afros & Audio Podcast Conference,info@afrosandaudio.com,Conference,paused_speaker,Afros and Audio podcast conference -- address to Genie Dawkins Event Logistics
,Bloguettes,lorena@bloguettes.com,Conference,creator,Bloguettes co-founder speaker inquiry
,UCF Nicholson School of Communication,timbrown@ucf.edu,University,creator,UCF Interim Director Nicholson School of Communication -- speaker booking
,UCF Communication Admin,Margo.Johnsen@ucf.edu,University,creator,UCF Admin Coordinator Nicholson School -- speaker logistics
,USF Zimmerman School of Advertising,fitzpatrick10@usf.edu,University,creator,USF Director Zimmerman School Advertising and Mass Comm -- speaker booking
,USF Zimmerman School Operations,glombardo@usf.edu,University,creator,USF School Operations Manager Zimmerman -- speaker logistics
,UF College of Journalism Events,j.osegueda@ufl.edu,University,creator,UF Executive Events Director College of Journalism -- speaker booking
,UF Corporate & Community Partnerships,erika.cooper@ufl.edu,University,creator,UF Director Office of Careers and Corporate Partnerships
,FIU School of Journalism,sujacobs@fiu.edu,University,creator,FIU Director Lee Caplin School of Journalism and Media -- speaker booking
,FIU School of Communication,daclarke@fiu.edu,University,creator,FIU Director School of Communication -- speaker booking
,Tampa Museum of Art,Education@TampaMuseum.org,Museum,creator,Tampa Museum of Art education department -- speaker series
,Perez Art Museum Miami,education@pamm.org,Museum,creator,PAMM education department -- Senior Director Marie Vickles -- speaker programs
,The Bass Museum Miami Beach,education@thebass.org,Museum,creator,The Bass education department -- Public Programs Coordinator Caroline Mederos
,Miami Dade College Communication,flopez4@mdc.edu,University,creator,MDC North Campus Communication Department Chair Fernando Lopez -- speaker booking
,Barry University Arts & Sciences,kcallaghan@barry.edu,University,creator,Barry University Dean College of Arts and Sciences -- Communication speaker inquiry
,FAMU School of Journalism Outreach,patrice.monroe@famu.edu,University,creator,FAMU Recruitment and Outreach Coordinator -- best contact for speaker booking
,FAMU School of Journalism Dean,mira.lowe@famu.edu,University,creator,FAMU Dean School of Journalism and Graphic Communication -- speaker inquiry
,Nova Southeastern University Communication,bshanti@nova.edu,University,creator,NSU Chair Communication Media and Arts -- speaker booking
,Jacksonville University Communication,awillet@ju.edu,University,creator,JU Professor and Coordinator Department of Communication -- speaker booking
,Bethune-Cookman Mass Communications,victors@cookman.edu,University,creator,BCU Chair Mass Communications -- prior speaking relationship warm re-engagement
,Bethune-Cookman Communication Studies,nuviadenuk@cookman.edu,University,creator,BCU Chair Communication Studies Theatre and Dance -- speaker booking
,Lynn University College of Communication,spowers@lynn.edu,University,creator,Lynn University Associate Dean College of Communication and Design -- speaker booking
,Palm Beach Atlantic University Communication,Katherine_Chute@pba.edu,University,creator,PBA Chair Department of Communication Journalism and Public Relations -- speaker booking
,Boys & Girls Clubs of Central Florida,mreid@bgccf.org,YouthOrg,speaker,BGC Central Florida Chief Impact Officer -- speaker inquiry
,Boys & Girls Clubs of Greater Tampa Bay,info@bgctampa.org,YouthOrg,paused_speaker,BGC Tampa Bay -- address to VP Educational Programs Dr. Diana Morello-DeSerio
,Boys & Girls Clubs of Palm Beach County,enicoloso@bgcpbc.org,YouthOrg,speaker,BGC Palm Beach VP of Programs -- speaker booking
,Boys & Girls Clubs of Broward County,abenjamin@bgcbc.org,YouthOrg,speaker,BGC Broward Director of Teen Initiatives -- speaker booking
,Starter Studio Orlando,dawn@starterstudio.org,Incubator,creator,Starter Studio CEO Dawn Haynes -- speaker inquiry for creator economy and personal brand
,Tampa Bay WaVE,linda@tampabaywave.org,Incubator,creator,Tampa Bay WaVE President Linda Olson -- speaker inquiry
,GrowFL,TSweet@GrowFL.com,Incubator,creator,GrowFL Executive Director Tammie Sweet -- speaker inquiry
,UCF Business Incubator,rafael.caamano@ucf.edu,Incubator,creator,UCF Business Incubator Interim Executive Director -- speaker inquiry
,Orlando Museum of Art,info@omart.org,Museum,paused_speaker,Orlando Museum of Art education programs -- speaker series inquiry
,Dr. Phillips Center Orlando,classes@drphillipscenter.org,Museum,creator,Dr. Phillips Center education and programs -- speaker series inquiry
,BGC Miami-Dade President,aroig@bgcmia.org,YouthOrg,speaker,Boys and Girls Clubs Miami-Dade President Alex Rodriguez-Roig -- speaker inquiry
,ADCOLOR Conference,leaders@adcolor.org,Conference,creator,ADCOLOR diversity in advertising conference Sept 2026 LA -- speaker inquiry
,Florida PR Association Summit,state@fpra.org,Conference,creator,FPRA PR and Communications Summit Aug 2026 Orlando -- speaker inquiry
,NABJ South Florida,info@NABJsouthflorida.com,MediaOrg,paused_speaker,National Association of Black Journalists South Florida chapter -- speaker inquiry
,NAMIC Events,sandra.girado@namic.com,Conference,creator,NAMIC VP of Events and Partner Relations -- highest value direct contact for speaker booking
,National Coalition of 100 Black Women,contactus@nc100bw.org,WomensOrg,speaker,National Coalition of 100 Black Women Atlanta HQ -- speaker inquiry
,Brown Girl Magazine,hello@browngirlmagazine.com,MediaOrg,paused_speaker,Brown Girl Magazine general pitches and partnerships -- speaker and collaboration
,Orlando Economic Partnership Events,jeanne.ford@orlando.org,Chamber,creator,Orlando Economic Partnership Director of Events -- speaker inquiry
,Orlando Economic Partnership Programs,nathanael.edmund@orlando.org,Chamber,creator,Orlando Economic Partnership Director of Programs
,Tampa Bay Chamber Events,ksilvers@tampabaychamber.com,Chamber,creator,Tampa Bay Chamber Senior Director of Events -- speaker inquiry
,Tampa Bay Chamber Leadership,astinson@tampabaychamber.com,Chamber,creator,Tampa Bay Chamber VP Economic Inclusion and Leadership -- speaker inquiry
,JAX Chamber Events,alanna.luksha@jaxchamber.com,Chamber,creator,JAX Chamber VP Events and NextUpJAX young professionals -- speaker inquiry
,Metro Atlanta Chamber Talent,tcairl@macoc.com,Chamber,creator,Metro Atlanta Chamber VP Talent Development -- speaker inquiry
,Charlotte Regional Business Alliance,abonifati@charlotteregion.com,Chamber,creator,Charlotte Regional Business Alliance Program and Engagement Manager -- Power of Women program
,Nashville Area Chamber Events,cboose@nashvillechamber.com,Chamber,creator,Nashville Chamber Director of Events -- 100 plus events per year -- speaker inquiry
,Florida Chamber of Commerce Events,sthomas@flchamber.com,Chamber,creator,Florida Chamber Sr Director of Events -- speaker inquiry
,Florida SBDC UCF Events,Jill.Kaufman@ucf.edu,Incubator,creator,Florida SBDC UCF Advisory Board Council event lead -- speaker booking
,Delta Sigma Theta South Atlantic,secretarysar@gmail.com,SororityOrg,speaker,Delta Sigma Theta South Atlantic Region -- Florida region -- speaker inquiry
,Alpha Kappa Alpha South Eastern,Communications@aka-south-eastern.com,SororityOrg,speaker,AKA South Eastern Region press and communications -- speaker inquiry
,Jack and Jill Jacksonville,jaxjnj@gmail.com,YouthOrg,speaker,Jack and Jill of America Jacksonville chapter -- speaker inquiry
,Rollins Museum of Art Education,tnmartin@rollins.edu,Museum,creator,Rollins Museum of Art Associate Curator of Education -- speaker series
,ACLU of Georgia,info@aclu-ga.org,SocialJustice,paused_political,ACLU of Georgia
,Fair Fight Action,info@fairfight.com,PoliticalPAC,paused_political,Fair Fight Action - Stacey Abrams
,Black Voters Matter,info@blackvotersmatter.org,VotingRights,paused_political,Black Voters Matter
,Color of Change,info@colorofchange.org,SocialJustice,paused_political,Color of Change
,Indivisible National,info@indivisible.org,PoliticalPAC,paused_political,Indivisible National
,When We All Vote,info@whenweallvote.org,VotingRights,paused_political,When We All Vote
,League of Women Voters National,info@lwv.org,VotingRights,paused_political,League of Women Voters National
,Voto Latino,info@votolatino.org,VotingRights,paused_political,Voto Latino
,United We Dream,info@unitedwedream.org,SocialJustice,paused_political,United We Dream
,MoveOn,info@moveon.org,PoliticalPAC,paused_political,MoveOn
,Swing Left,info@swingleft.org,PoliticalPAC,paused_political,Swing Left
,EMILY's List,press@emilyslist.org,PoliticalPAC,paused_political,EMILY's List
,National Urban League,info@nul.org,SocialJustice,paused_political,National Urban League
,Indivisible Atlanta,atlanta@indivisible.org,PoliticalPAC,paused_political,Indivisible Atlanta
,Georgia Democratic Party,info@georgiademocrats.org,PoliticalPAC,paused_political,Georgia Democratic Party
,Florida Democratic Party,info@floridademocrats.org,PoliticalPAC,paused_political,Florida Democratic Party
,Texas Democratic Party,info@txdemocrats.org,PoliticalPAC,paused_political,Texas Democratic Party
,Illinois Democratic Party,info@ildemocrats.org,PoliticalPAC,paused_political,Illinois Democratic Party
,California Democratic Party,info@cadem.org,PoliticalPAC,paused_political,California Democratic Party
,New York State Democrats,info@nysdemocrats.org,PoliticalPAC,paused_political,New York State Democrats
,Voter Stamp,info@voterstamp.org,VotingRights,paused_political,Voter Stamp
,Power the Polls,info@powerthepolls.org,VotingRights,paused_political,Power the Polls
,Repair the Vote,contact@repairthevote.org,VotingRights,paused_political,Repair the Vote
,ACLU of Texas,info@aclutx.org,SocialJustice,paused_political,ACLU of Texas
,ACLU of Florida,info@aclufl.org,SocialJustice,paused_political,ACLU of Florida
,ACLU of California,info@acluca.org,SocialJustice,paused_political,ACLU of California
,ACLU of Illinois,info@aclu-il.org,SocialJustice,paused_political,ACLU of Illinois
,ACLU of New Jersey,info@aclu-nj.org,SocialJustice,paused_political,ACLU of New Jersey
,NYCLU,info@nyclu.org,SocialJustice,paused_political,NYCLU - New York Civil Liberties Union
,Indivisible Chicago,chicago@indivisible.org,PoliticalPAC,paused_political,Indivisible Chicago
,Indivisible Houston,houston@indivisible.org,PoliticalPAC,paused_political,Indivisible Houston
,Indivisible Los Angeles,la@indivisible.org,PoliticalPAC,paused_political,Indivisible Los Angeles
,Indivisible NYC,nyc@indivisible.org,PoliticalPAC,paused_political,Indivisible NYC
,Indivisible Dallas,dallas@indivisible.org,PoliticalPAC,paused_political,Indivisible Dallas
,League of Women Voters Chicago,chicago@lwv.org,VotingRights,paused_political,League of Women Voters Chicago
,League of Women Voters Georgia,info@lwvga.org,VotingRights,paused_political,League of Women Voters Georgia
,League of Women Voters Florida,info@lwvfl.org,VotingRights,paused_political,League of Women Voters Florida
,League of Women Voters Texas,info@lwvtx.org,VotingRights,paused_political,League of Women Voters Texas
,League of Women Voters California,info@lwvca.org,VotingRights,paused_political,League of Women Voters California
,League of Women Voters Illinois,info@lwvil.org,VotingRights,paused_political,League of Women Voters Illinois
,League of Women Voters New York,info@lwvny.org,VotingRights,paused_political,League of Women Voters New York
,Stacey Abrams Campaign,info@staceyabrams.com,PoliticalPAC,paused_political,Stacey Abrams Campaign
,Better Midwest,info@bettermidwest.org,SocialJustice,paused_political,Better Midwest
,Chicago Urban League,info@chicagourbanleague.org,SocialJustice,paused_political,Chicago Urban League
,Urban League of New York,info@nulnewyork.org,SocialJustice,paused_political,Urban League of New York
,Urban League of Houston,info@urbanleagueofhouston.org,SocialJustice,paused_political,Urban League of Houston
,Urban League of Chicago,info@urbanleaguechicago.org,SocialJustice,paused_political,Urban League of Chicago
,Urban League of Greater Dallas,info@urbanleaguedfw.org,SocialJustice,paused_political,Urban League of Greater Dallas
,Urban League of Los Angeles,info@urbanleaguecalifornia.org,SocialJustice,paused_political,Urban League of Los Angeles
,Breakthrough Georgia,contact@breakthroughga.org,VotingRights,paused_political,Breakthrough Georgia
,Women's March National,info@womensmarch.com,SocialJustice,paused_political,Women's March National
,Women's March Chicago,chicago@womensmarch.com,SocialJustice,paused_political,Women's March Chicago
,Planned Parenthood Action Fund,info@plannedparenthoodaction.org,SocialJustice,paused_political,Planned Parenthood Action Fund
,Planned Parenthood Federation,info@ppfa.org,SocialJustice,paused_political,Planned Parenthood Federation
,NARAL Pro-Choice America,info@naral.org,SocialJustice,paused_political,NARAL Pro-Choice America
,Rock the Vote,info@rockthevote.org,VotingRights,paused_political,Rock the Vote
,LA Mayor's Office of Civic Engagement,info@lamayor.org,PoliticalPAC,paused_political,LA Mayor's Office of Civic Engagement
,The Accountability Project,info@countabilityproject.org,VotingRights,paused_political,The Accountability Project
,Future Coalition,press@futurecoalition.org,SocialJustice,paused_political,Future Coalition
,Advocacy for Justice,contact@advocacyforjustice.org,SocialJustice,paused_political,Advocacy for Justice
,Southern Coalition for Social Justice,info@southerncoalition.org,SocialJustice,paused_political,Southern Coalition for Social Justice
,Progressive Policy Institute,contact@progressivepolicyinstitute.org,PoliticalPAC,paused_political,Progressive Policy Institute
,Center for American Progress,info@centerforamerican progress.org,PoliticalPAC,paused_political,Center for American Progress
,Common Cause,info@commoncause.org,VotingRights,paused_political,Common Cause
,Demos,info@demos.org,SocialJustice,paused_political,Demos
,Brennan Center for Justice,info@brennancenter.org,VotingRights,paused_political,Brennan Center for Justice
,Third Way,contact@thirdwayinc.org,PoliticalPAC,paused_political,Third Way
,NextGen America,info@nextgen.org,VotingRights,paused_political,NextGen America
,EveryAction Civic,info@everyaction.com,VotingRights,paused_political,EveryAction Civic
,Vote Forward,info@votefwd.org,VotingRights,paused_political,Vote Forward
,All On The Line,info@allontheline.org,VotingRights,paused_political,All On The Line
,Wilhelmina Models,submissions@wilhelminamodels.com,Talent Agency,paused_talent,Wilhelmina Models - national agency Miami/NY
,One Management Group,talent@theonemanagementgroup.com,Talent Agency,paused_talent,One Management Group - commercial/print
,Bloc Talent Agency,info@blocagency.com,Talent Agency,paused_talent,Bloc Talent Agency - commercial/print NY/LA
,Stewart Talent,submissions@stewarttalent.com,Talent Agency,paused_talent,Stewart Talent - commercial/hosting Chicago/NY
,Mariann Hudson Agency,info@mariannhudsonagency.com,Talent Agency,paused_talent,Mariann Hudson Agency - FL talent
,Brevard Talent Group,submissions@brevardtalentgroup.com,Talent Agency,paused_talent,Brevard Talent Group - FL commercial
,Florida Talent Agency,info@floridatalent.com,Talent Agency,paused_talent,Florida Talent Agency - Orlando
,Social Elite Agency,submissions@socialeliteagency.com,Talent Agency,paused_talent,Social Elite Agency - influencer talent
,Grey Room Casting,info@greyroomcasting.com,Casting,paused_talent,Grey Room Casting - commercial casting
,MKS Casting,submissions@mkscasting.com,Talent Agency,paused_talent,MKS Casting - commercial/print FL
,The Talent Group,talent@thetalentgroup.com,Talent Agency,paused_talent,The Talent Group - commercial/hosting
,Visible Management,info@visiblemgmt.com,Talent Agency,paused_talent,Visible Management - digital creators/talent
,UTA,submissions@unitedtalent.com,Talent Agency,paused_talent,UTA - major agency commercial/hosting
,WME,submissions@wmeagency.com,Talent Agency,paused_talent,WME - major agency talent
,Paradigm Talent Agency,talent@paradigmagency.com,Talent Agency,paused_talent,Paradigm Talent Agency - hosting/commercial
,Aevitas Creative,submissions@aevitas.com,Talent Agency,paused_talent,Aevitas Creative - speaking/hosting talent
,Keppler Speakers,info@kepplerspeakers.com,Speaker Bureau,paused_talent,Keppler Speakers - speaker bureau
,All American Speakers,info@allamericanspeakers.com,Speaker Bureau,paused_talent,All American Speakers - speaker bureau
,Premiere Speakers Bureau,info@premierespeakers.com,Speaker Bureau,paused_talent,Premiere Speakers Bureau
,Launch Speaking Agency,bookings@launchspeakingagency.com,Speaker Bureau,talent,Launch Speaking Agency - diverse voices
,Diversity Speaker Bureau,info@diversityspeaker.com,Speaker Bureau,paused_talent,Diversity Speaker Bureau
,Harbor House of Central Florida,info@harborhousefl.com,women's shelter,nonprofit,Domestic violence shelter and advocacy; PO Box 680748
,Heart of Florida United Way,info@hfuw.org,community org,nonprofit,Major regional United Way chapter
,Victim Service Center of Central Florida,info@vscfl.org,community org,nonprofit,Advocacy and counseling for trauma survivors
,Coalition for the Homeless of Central Florida,info@centralfloridahomeless.org,housing,nonprofit,Shelter and housing stabilization services
,Covenant House Florida (Orlando),info@covenanthousefl.org,youth programs,nonprofit,Housing and services for youth ages 18-24
,Orlando Community & Youth Trust,info@orlandotrust.org,youth programs,nonprofit,Improving lives of Orlando children and families since 1994
,Christian Service Center,info@cscfl.org,community org,nonprofit,Food pantry and social services
,Grace Medical Home,info@gracemedicalome.org,health nonprofits,nonprofit,Free primary care for working uninsured
,Edgewood Children's Ranch,info@edgewoodranch.org,youth programs,nonprofit,Residential care and educational programs for at-risk youth
,Orlando Film Festival,info@orlandofilmfest.com,arts nonprofits,nonprofit,Annual film festival celebrating independent filmmakers
,Jewish Federation of Greater Orlando,info@jewishorlando.org,community org,nonprofit,Community welfare and human services
,Down Syndrome Foundation of Florida,info@dsffl.org,health nonprofits,nonprofit,Support for individuals with Down syndrome and families
,Boys & Girls Clubs of Tampa Bay,info@bgctampabay.org,youth programs,nonprofit,After-school and summer youth development
,The Helen Gordon Davis Centre for Women,info@thecentre.org,women's shelter,nonprofit,Programs and support for women in Tampa Bay region
,Trinity Cafe,info@trinitycafe.org,food bank,nonprofit,Free dignified restaurant-style meals for those in need
,Children's Home Network,info@childrenshomenetwork.org,youth programs,nonprofit,Child welfare and family services
,Gulf Coast Jewish Family and Community Services,info@gcjfcs.org,community org,nonprofit,Human services across Tampa Bay and Gulf Coast
,DACCO Behavioral Health,info@dacco.org,health nonprofits,nonprofit,Substance use and mental health treatment
,United Way Suncoast,info@unitedwaysuncoast.org,community org,nonprofit,Regional United Way chapter serving Tampa Bay
,Daniel Kids,info@daniel.org,youth programs,nonprofit,Child welfare residential and community-based services
,Sulzbacher Center,info@sulzbacher.org,housing,nonprofit,Comprehensive services for adults and families experiencing homelessness
,BEAM (Beaches Emergency Assistance Ministry),info@beamjax.org,community org,nonprofit,Food pantry and emergency assistance
,Gateway Community Services,info@gatewaycommunityservices.org,health nonprofits,nonprofit,Behavioral health and substance abuse services
,Women's Giving Alliance of NE Florida,info@wganefl.org,women's shelter,nonprofit,Grantmaking for nonprofits supporting women and girls
,Jacksonville Women's Leadership Forum,info@jwlf.org,community org,nonprofit,Women's professional and civic leadership development
,Nonprofit Center of Northeast Florida,info@nonprofitctr.org,community org,nonprofit,Capacity building for NE Florida nonprofits; 40 E. Adams St
,Kids Hope Alliance,info@kha.jaxkids.net,youth programs,nonprofit,City of Jacksonville's funder for youth and children's programs
,United Way of Northeast Florida,info@uwnefl.org,community org,nonprofit,Regional United Way chapter
,Catalyst Miami,info@catalystmiami.org,community org,nonprofit,Community organizing and leadership building since 1996
,Feeding South Florida,info@feedingsouthflorida.org,food bank,nonprofit,Food access for communities across South Florida
,United Way Miami,info@unitedwaymiami.org,community org,nonprofit,Regional United Way focused on health education and income
,HandsOn Miami,info@handsonmiami.org,community org,nonprofit,Volunteer mobilization across Miami-Dade; 2103 Coral Way Suite 202
,Lotus House Women's Shelter,info@lotushouse.org,women's shelter,nonprofit,Largest women and children's shelter in Southeast US
,Chapman Partnership,info@chapmanpartnership.org,housing,nonprofit,Comprehensive services for individuals experiencing homelessness
,Branches,info@branchesfl.org,community org,nonprofit,Financial coaching education and community support
,Power U Center for Social Change,info@poweru.org,civic org,nonprofit,Youth and community civic engagement and advocacy
,The Miami Foundation,info@miamifoundation.org,community org,nonprofit,Community foundation supporting civic and philanthropic work
,Love To Help Foundation,info@lovetohelp.care,community org,nonprofit,Community outreach and charitable services; (305) 343-7038
Brenda Coleman,Atlanta CARES Mentoring Movement,info@atlantacaresmentors.org,youth programs,nonprofit,Affiliate of National CARES Mentoring Movement
,Destined For Greatness Outreach Youth Center,mentor@dfgyouth.org,youth programs,nonprofit,Youth empowerment programs in Greater Atlanta
,Hands On Atlanta,info@handsonatlanta.org,community org,nonprofit,Civic engagement and volunteer mobilization since 1989
,Atlanta GLOW,info@atlantaglow.org,youth programs,nonprofit,Young women's leadership program and life skills training
,Community Foundation for Greater Atlanta,info@cfgreateratlanta.org,community org,nonprofit,Regional philanthropy and grantmaking organization
,Covenant House Georgia,info@covenanthousega.org,youth programs,nonprofit,Housing and services for youth experiencing homelessness
,Open Hand Atlanta,info@openhandatlanta.org,health nonprofits,nonprofit,Medically tailored meals and nutrition education
,ACLU of Georgia,info@acluga.org,civic org,nonprofit,Civil liberties advocacy across Georgia
,Asian American Advocacy Fund,info@aaafund.org,civic org,nonprofit,Grassroots civic engagement for Asian Americans in GA
,Task Force for Global Health,info@taskforce.org,health nonprofits,nonprofit,Global and domestic public health programs
,United Way of Greater Atlanta,info@unitedwayatlanta.org,community org,nonprofit,Community investment and education and health programs
,Boys & Girls Clubs of Metro Atlanta,info@bgcma.org,youth programs,nonprofit,Youth development across Atlanta metro area
Donna Y. Dunlap,Big Brothers Big Sisters of Central Carolinas,donna.dunlap@bbbscentralcarolinas.org,youth programs,nonprofit,Youth mentoring across the central Carolinas
,Care Ring,tmontgomery@careringnc.org,health nonprofits,nonprofit,Health services for the uninsured; (704) 375-0172
Aaron Randolph,Carolina Youth Coalition,info@carolinayouth.org,youth programs,nonprofit,Support for high-achieving under-resourced students
,Community Builders Inc (CBI),info@cbicharlotte.org,community org,nonprofit,Anti-bias skill building and barrier removal
,Frankie Mae Foundation,ventira@frankiemaefoundation.com,community org,nonprofit,Community health and family wellness programs
,Crisis Assistance Ministry,info@crisisassistance.org,community org,nonprofit,Emergency financial assistance and clothing
,Loaves & Fishes / Friendship Trays,info@loavesandfishesnc.org,food bank,nonprofit,Food pantry network and home-delivered meals
,Roof Above,info@roofabove.org,housing,nonprofit,Homeless outreach shelter and transitional housing
,United Way of Greater Charlotte,info@uwgc.org,community org,nonprofit,Regional United Way chapter
,Thompson Child & Family Focus,info@thompson.org,youth programs,nonprofit,Mental health and youth development services
,YWCA Central Carolinas,info@ywcacentralcarolinas.org,women's shelter,nonprofit,Women's housing advocacy and empowerment programs
,Oasis Center,info@oasiscenter.org,youth programs,nonprofit,Youth crisis services and housing since 1969
,Martha O'Bryan Center,info@marthaobryan.org,community org,nonprofit,Education and economic mobility in Nashville's public housing
,Nashville Rescue Mission,info@nashvillerescuemission.org,housing,nonprofit,Shelter meals and recovery services
,Room in the Inn,info@roomintheinn.org,housing,nonprofit,Winter shelter network and transitional housing
,YWCA Nashville & Middle Tennessee,info@ywcanashville.com,women's shelter,nonprofit,Women's advocacy housing and racial justice programs
,Tennessee Nonprofit Network,info@tnnonprofits.org,community org,nonprofit,Statewide nonprofit support and advocacy
,United Way of Metropolitan Nashville,info@uwmn.org,community org,nonprofit,Regional United Way chapter
,Renewal House,info@renewalhouse.org,women's shelter,nonprofit,Recovery housing for mothers and children
,Dismas House of Nashville,info@dismashouse.com,housing,nonprofit,Transitional housing and reentry services
,W.O. Smith Nashville Community Music School,info@wosmith.org,arts nonprofits,nonprofit,Affordable music education for underserved youth
Dominique A. Scott,Serve DC,servedc@dc.gov,civic org,nonprofit,Mayor's Office of Volunteerism and Partnerships
,Greater Washington Community Foundation,info@thecommunityfoundation.org,community org,nonprofit,Regional philanthropy; 1750 H Street NW Suite 800
,DC Central Kitchen,info@dccentralkitchen.org,food bank,nonprofit,Culinary training and food security
,So Others Might Eat (SOME),info@some.org,community org,nonprofit,Comprehensive services for the homeless and near-homeless
,Friendship Place,info@friendshipplace.org,housing,nonprofit,Outreach and housing for people experiencing homelessness
,Community of Hope,info@communityofhopedc.org,health nonprofits,nonprofit,Housing and healthcare for vulnerable DC families
,Bread for the City,info@breadforthecity.org,community org,nonprofit,Food legal medical and social services for low-income residents
,National Council of Negro Women,info@ncnw.org,women's shelter,nonprofit,Advocacy and programs for Black women and families
,Capital Area Food Bank,info@capitalareafoodbank.org,food bank,nonprofit,Largest food bank in the DC metro area
,United Way of the National Capital Area,info@unitedwaynca.org,community org,nonprofit,Regional United Way chapter
,Washington Area Women's Foundation,info@thewomensfoundation.org,community org,nonprofit,Grants and advocacy for women and girls in DC region
Odochi Akwani,AFAHO,odochi@afaho.org,health nonprofits,nonprofit,Health services for African and Caribbean immigrants; (215) 546-1232
,Urban Affairs Coalition,info@uac.org,community org,nonprofit,Fiscal sponsor and community development organization
,Greater Philadelphia Coalition Against Hunger,info@hungercoalition.org,food bank,nonprofit,Food access and anti-hunger advocacy
,Women Against Abuse,info@womenagainstabuse.org,women's shelter,nonprofit,Domestic violence shelter and legal services
,Project HOME,info@projecthome.org,housing,nonprofit,Ending homelessness through housing and advocacy
,Philadelphia Youth Network,info@pyninc.org,youth programs,nonprofit,Youth workforce and education initiatives
,Resources for Human Development,info@rhd.org,community org,nonprofit,Human services and community programs
,Congreso de Latinos Unidos,info@congreso.net,community org,nonprofit,Education and economic development for Latino community
,United Way of Greater Philadelphia and Southern NJ,info@unitedforimpact.org,community org,nonprofit,Regional United Way chapter
,Mural Arts Philadelphia,info@muralarts.org,arts nonprofits,nonprofit,Public art and community engagement through murals
,Houston Children's Charity,hcc@houstonchildrenscharity.net,youth programs,nonprofit,Children's equipment and program support; (713) 524-2878
,Star of Hope Mission,info@sohmission.org,housing,nonprofit,Emergency shelter and transitional housing
,Houston Food Bank,info@houstonfoodbank.org,food bank,nonprofit,Largest food bank in the US by volume
,YWCA Greater Houston,info@ywcahouston.org,women's shelter,nonprofit,Women's empowerment housing and youth programs
,Boys & Girls Clubs of Greater Houston,info@bgcgh.org,youth programs,nonprofit,Youth development across Houston metro area
,Houston in Action,info@houstoninaction.org,civic org,nonprofit,Civic engagement and community organizing
,Avenue CDC,info@avenuecdc.org,community org,nonprofit,Community development in Near Northside Houston
,Dress for Success Houston,houston@dressforsuccess.org,women's shelter,nonprofit,Professional clothing and employment support for women
,United Way of Greater Houston,info@unitedwayhouston.org,community org,nonprofit,Regional United Way chapter
,DePelchin Children's Center,info@depelchin.org,youth programs,nonprofit,Foster care mental health and adoption services
Genesis Women's Shelter,Genesis Women's Shelter & Support,info@genesis.org,women's shelter,nonprofit,Domestic violence shelter and advocacy in Dallas
,Big Thought,info@bigthought.org,arts nonprofits,nonprofit,Youth arts learning and civic engagement
,Dallas Children's Advocacy Center,info@dcac.org,youth programs,nonprofit,Child abuse intervention and prevention
,The Stewpot,info@thestewpot.org,community org,nonprofit,Meals arts and services for homeless and low-income residents
,Big Brothers Big Sisters Lone Star,info@lonestarbigs.org,youth programs,nonprofit,Youth mentoring across North Texas
,Youth Believing in Change,info@ybcinc.org,youth programs,nonprofit,Faith-based youth development in Vickery Meadows
,United Way of Metropolitan Dallas,info@unitedwaydallas.org,community org,nonprofit,Regional United Way chapter
,CitySquare (formerly Central Dallas Ministries),info@citysquare.org,community org,nonprofit,Poverty disruption through housing health and jobs
,Vogel Alcove,info@vogelalcove.org,youth programs,nonprofit,Early childhood education for children experiencing homelessness
,The Salvation Army Dallas,dallas@uss.salvationarmy.org,community org,nonprofit,Emergency services housing and youth programs
Jeff Campbell,Chicago Youth Programs,info@chicagoyouthprograms.org,youth programs,nonprofit,Youth development in Woodlawn community; (773) 493-4052
Maria Velazquez,Telpochcalli Community Education Project,info@telpochcalli.org,education nonprofit,nonprofit,Community education in Little Village neighborhood
,Enlace Chicago,info@enlacechicago.org,community org,nonprofit,Community organizing in Little Village
,BUILD Chicago,info@buildchicago.org,youth programs,nonprofit,Youth violence prevention and community engagement
,Housing Opportunities & Maintenance for the Elderly (HOME),info@homechicago.org,housing,nonprofit,Housing support for low-income seniors in Chicago
,Heartland Alliance,info@heartlandalliance.org,community org,nonprofit,Anti-poverty programs and economic opportunity
,Chicago Commons,info@chicagocommons.org,community org,nonprofit,Early childhood and family services across Chicago
,Metropolitan Family Services,info@metrofamily.org,community org,nonprofit,Human services across Chicago metro area
,Erie Neighborhood House,info@eriehouse.org,community org,nonprofit,Immigration and community services since 1870
,Illinois Action for Children,info@actforchildren.org,youth programs,nonprofit,Early childhood and family advocacy
,Chicago Alliance Against Sexual Exploitation (CAASE),info@caase.org,women's shelter,nonprofit,Survivor services and policy advocacy
,YWCA Metropolitan Chicago,info@ywcachicago.org,women's shelter,nonprofit,Women's empowerment housing and racial justice programs
,United Way of Metro Chicago,info@unitedwaymetro.org,community org,nonprofit,Regional United Way chapter
Kimberly Olsen,NYC Arts in Education Roundtable,kolsen@nycaieroundtable.org,arts nonprofits,nonprofit,Advancing arts education in NYC schools
,Harlem Children's Zone,info@hcz.org,youth programs,nonprofit,Comprehensive youth and family services in Harlem
